Event Code,Event Message,Associated Object ID,Notes
FRCST-75,Forecast Action bulk deleted - failure,The associated integration ID.,Forecaster
FRCST-76,Forecast Action bulk deleted - partial success,The associated integration ID.,Forecaster
PIQ-01,Data Collection created,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-02,Changed Data Collection name,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-03,Data Collection deleted,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-04,Rerun Data Collection assembly,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-05,Forecast model created,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-06,Changed Forecast model name,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-07,Forecast model deleted,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-08,Forecast action created,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-09,Forecast action edited,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-10,Changed Forecast action name,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-11,Forecast action deleted,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-12,Forecast action added or changed schedule,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-13,Forecast action schedule paused,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-14,Forecast action executed,The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
PIQ-15,"Backtest imported, forecast model",The associated integration ID.,Legacy PlanIQ — superseded by FRCST-* codes. Retained for historical events.
DSM-071,Create key pair with key,The user ID associated with the action.,BYOK encryption activity.
DSM-072,Delete key pair with key,The user ID associated with the action.,BYOK encryption activity.
DSM-229,Add a guardpoint with a policy,The user ID associated with the action.,Guardpoint event.
DSM-231,Add a group guardpoint,The user ID associated with the action.,Guardpoint event.
DSM-235,Update a guardpoint,The user ID associated with the action.,Guardpoint event.
DSM-238,Delete a group guardpoint,The user ID associated with the action.,Guardpoint event.
DSM-239,Create symmetric key with key,The user ID associated with the action.,The same key is used for both encryption and decryption.
DSM-240,Delete symmetric key,The user ID associated with the action.,BYOK encryption activity.
DSM-267,A user logged in,The logged-in user ID.,BYOK encryption activity.
DSM-281,Delete an online policy,The user ID associated with the action.,Guardpoint event.
DSM-405,Assigned roles to a user in the domain,The user ID associated with the action.,BYOK encryption activity.
DSM-406,Remove user from domain,The user ID associated with the action.,BYOK encryption activity.
DSM-425,Enable user in a domain,The user ID associated with the action.,BYOK encryption activity.
DSM-426,Switch the domain,The user ID associated with the action.,BYOK encryption activity.
DSM-501,Marked guardpoint pending delete with a policy,The user ID associated with the action.,Guardpoint event.
DSM-502,Delete a pending guardpoint with a policy,The user ID associated with the action.,Guardpoint event.
DSM-576,Update Key,The user ID associated with the action.,BYOK encryption activity.
DSM-674,Create key attribute,The user ID associated with the action.,BYOK encryption activity.
DSM-DAO0071I,Create key pair with key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-071.
DSM-DAO0072I,Delete key pair with key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-072.
DSM-DAO0229I,Add a guardpoint with a policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-229.
DSM-DAO0231I,Add a group guardpoint,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-231.
DSM-DAO0235I,Update a guardpoint,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-235.
DSM-DAO0238I,Delete a group guardpoint,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-238.
DSM-DAO0239I,Create symmetric key with key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-239.
DSM-DAO0240I,Delete symmetric key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-240.
DSM-DAO0267I,A user logged in,The logged-in user ID.,BYOK DAO prefix variant of DSM-267.
DSM-DAO0281I,Delete an online policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-281.
DSM-DAO0405I,Assigned roles to a user in the domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-405.
DSM-DAO0406I,Remove user from domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-406.
DSM-DAO0425I,Enable user in a domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-425.
DSM-DAO0426I,Switch the domain,The user ID associated with the action.,BYOK DAO prefix variant of DSM-426.
DSM-DAO0501I,Marked guardpoint pending delete with a policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-501.
DSM-DAO0502I,Delete a pending guardpoint with a policy,The user ID associated with the action.,Guardpoint DAO prefix variant of DSM-502.
DSM-DAO576I,Update Key,The user ID associated with the action.,BYOK DAO prefix variant of DSM-576.
DSM-DAO0674I,Create key attribute,The user ID associated with the action.,BYOK DAO prefix variant of DSM-674.
DSM-046,Delete host,The user ID associated with the action.,Host management.
DSM-048,Update host,The user ID associated with the action.,Host management.
DSM-521,Add a host group,The user ID associated with the action.,Host group management.
DSM-531,Delete a host group,The user ID associated with the action.,Host group management.
DSM-DAO0046I,Delete host,The user ID associated with the action.,Host management DAO prefix variant of DSM-046.
DSM-DAO0048I,Update host,The user ID associated with the action.,Host management DAO prefix variant of DSM-048.
DSM-DAO0521I,Add a host group,The user ID associated with the action.,Host group DAO prefix variant of DSM-521.
DSM-DAO0531I,Delete a host group,The user ID associated with the action.,Host group DAO prefix variant of DSM-531.
WF-100,Task created,The event code.,Workflow task event.
WF-101,Task started,The event code.,Workflow task event.
WF-102,Task completed,The event code.,Workflow task event.
WF-103,Task opened,The event code.,Workflow task event.
WF-104,Task cancelled,The event code.,Workflow task event.
WF-106,Task updated,The event code.,Workflow task event.
WF-107,Task rejected,The event code.,Workflow task event. Previously documented as "Task reopened" in earlier releases.
WF-108,Task sent back,The event code.,Workflow task event.
WF-109,Task transferred,The event code.,Workflow task event.
WF-110,Task sent reminder,The event code.,Workflow task event.
WF-1000,Workflow template created,The event code.,Workflow template event.
WF-1001,Workflow template published,The event code.,Workflow template event.
WF-1002,Draft version added to workflow template and published,The event code.,Workflow template event.
WF-1003,Workflow template execution started,The event code.,Workflow template event.
WF-1004,Workflow template execution cancelled,The event code.,Workflow template event.
WF-1005,Workflow template execution resumed,The event code.,Workflow template event.
WF-1006,Workflow template execution initiated by end user,The event code.,Workflow template event.
OAUTH-0,OAuth authentication event (description pending Anaplan documentation),N/A,Code present in API responses but message not yet published by Anaplan.
OAUTH-1,OAuth authentication event (description pending Anaplan documentation),N/A,Code present in API responses but message not yet published by Anaplan.
OAUTH-2,OAuth authentication event (description pending Anaplan documentation),N/A,Code present in API responses but message not yet published by Anaplan.
